Ticker,Earning Date,^GSPC,^GSPC_pctchange_5,^GSPC_pctchange_10,^GSPC_pctchange_30,^RUT,^RUT_pctchange_5,^RUT_pctchange_10,^RUT_pctchange_30,^VIX,^VIX_pctchange_5,^VIX_pctchange_10,^VIX_pctchange_30,GC=F,GC=F_pctchange_5,GC=F_pctchange_10,GC=F_pctchange_30,CL=F,CL=F_pctchange_5,CL=F_pctchange_10,CL=F_pctchange_30,^TNX,^TNX_pctchange_5,^TNX_pctchange_10,^TNX_pctchange_30,^FVX,^FVX_pctchange_5,^FVX_pctchange_10,^FVX_pctchange_30
A,2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2019-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2021-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2016-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2018-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2020-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2016-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
