Ticker,Earning Date,^GSPC,^GSPC_pctchange_5,^GSPC_pctchange_21,^GSPC_pctchange_yoy,^RUT,^RUT_pctchange_5,^RUT_pctchange_21,^RUT_pctchange_yoy,^VIX,^VIX_pctchange_5,^VIX_pctchange_21,^VIX_pctchange_yoy,GC=F,GC=F_pctchange_5,GC=F_pctchange_21,GC=F_pctchange_yoy,CL=F,CL=F_pctchange_5,CL=F_pctchange_21,CL=F_pctchange_yoy,^TNX,^TNX_pctchange_5,^TNX_pctchange_21,^TNX_pctchange_yoy,^FVX,^FVX_pctchange_5,^FVX_pctchange_21,^FVX_pctchange_yoy
A,2016-08-17,2182.22,0.31,0.85,4.93,1227.68,0.36,2.27,2.05,12.19,1.16,1.84,-20.07,1342.7,-0.12,0.84,15.79,46.79,12.18,4.79,15.67,1.56,-0.76,-0.57,-22.91,1.15,-0.26,2.5,-14.65
A,2016-11-15,2180.39,1.91,2.53,6.34,1302.14,8.95,7.6,12.91,13.37,-28.66,-17.52,-29.03,1224.0,-4.25,-2.32,14.53,45.81,2.05,-9.02,12.64,2.24,20.19,28.11,12.8,1.67,25.77,34.67,18.14
A,2017-02-14,2337.58,1.94,2.77,21.32,1396.65,2.61,1.79,38.13,10.74,-4.87,-4.36,-51.86,1223.9,-0.83,2.39,-1.23,53.2,1.97,1.58,80.71,2.47,5.06,0.12,40.98,1.96,7.93,1.03,62.12
A,2017-05-22,2394.02,-0.35,1.93,16.89,1377.14,-1.2,-0.2,23.91,10.93,4.89,-25.29,-30.91,1260.7,2.61,-2.07,0.52,50.73,3.85,2.24,5.34,2.25,-3.22,-1.83,43.57,1.8,-2.86,-1.21,60.45
A,2017-08-15,2464.61,-0.42,0.22,13.15,1383.24,-1.91,-3.38,12.36,12.04,9.85,22.61,-4.75,1273.7,1.38,3.32,-4.65,47.55,-3.29,3.32,6.88,2.27,1.12,1.52,26.31,1.82,1.28,1.11,41.97
A,2017-11-20,2582.14,-0.1,0.27,17.47,1503.4,1.92,-0.39,13.7,10.65,-7.39,6.82,-14.25,1274.6,-0.21,-0.22,5.37,56.09,-1.18,8.98,18.11,2.37,-0.38,-3.26,-5.98,2.09,1.4,1.21,5.39
A,2018-02-14,2698.63,0.63,-2.8,14.87,1522.1,0.94,-3.23,8.4,19.26,-30.54,65.18,60.9,1355.5,3.35,1.51,10.05,60.6,-1.93,-4.91,14.1,2.91,2.17,10.47,32.29,2.64,2.8,8.37,52.69
A,2018-05-14,2730.13,2.15,2.78,13.65,1600.34,1.35,3.28,14.81,12.93,-12.34,-25.73,24.09,1316.5,0.33,-2.1,7.15,70.96,0.33,5.3,45.26,2.99,0.88,2.78,29.71,2.85,1.57,3.33,53.91
A,2018-08-14,2839.96,-0.65,1.48,15.23,1692.58,0.25,0.84,22.36,13.31,21.77,3.74,10.55,1193.0,-1.37,-3.64,-6.34,67.04,-3.08,-1.5,40.99,2.89,-2.56,0.0,25.49,2.77,-2.5,-0.04,41.53
A,2018-11-19,2690.73,-1.3,-2.78,4.21,1496.54,-1.46,-2.95,-0.46,20.1,-1.71,1.06,88.73,1223.1,1.81,-0.18,-4.04,56.76,-5.29,-17.88,1.19,3.06,-2.8,-2.52,15.18,2.87,-4.05,-3.83,17.41
A,2019-02-20,2784.7,1.46,4.27,2.52,1581.66,2.82,6.69,3.38,14.02,-9.14,-21.24,-31.94,1343.3,2.6,4.84,1.09,56.92,7.19,5.8,-8.05,2.65,-1.99,-3.6,-10.73,2.47,-2.06,-4.4,-12.2
A,2019-05-14,2834.41,-1.72,-2.51,3.82,1543.06,-2.48,-2.63,-3.58,18.06,-6.52,50.37,39.68,1294.7,0.87,0.32,-1.66,61.78,0.62,-3.3,-12.94,2.42,-2.54,-5.51,-15.36,2.2,-3.81,-7.22,-20.19
A,2019-08-14,2840.6,-1.5,-5.44,0.02,1467.52,-2.21,-6.05,-13.3,22.1,13.39,71.85,66.04,1515.9,0.57,7.57,27.07,55.23,8.1,-4.15,-17.62,1.58,-7.87,-22.8,-50.02,1.49,-3.19,-17.56,-50.7
A,2019-11-25,3133.64,0.37,3.68,17.21,1621.9,1.86,4.05,7.7,11.87,-4.74,-6.17,-37.2,1456.6,-0.97,-2.86,19.37,58.01,1.68,2.38,12.36,1.76,-1.23,4.32,-34.55,1.62,-0.37,6.11,-35.44
A,2020-02-18,3370.29,0.54,1.61,21.24,1683.52,0.95,-1.27,6.93,14.83,-1.4,20.37,-0.34,1600.0,1.61,3.29,19.39,52.05,5.0,-11.06,-7.2,1.56,-2.14,-10.57,-39.92,1.39,-1.28,-10.42,-41.67
A,2020-05-21,2948.51,3.37,5.33,4.47,1347.56,8.89,12.15,-10.25,29.53,-9.44,-29.66,74.53,1720.5,-1.01,-0.47,33.91,33.92,23.08,146.15,-41.43,0.68,5.78,3.2,-67.36,0.34,10.39,-15.21,-81.66
A,2020-08-18,3389.78,1.68,4.24,16.87,1569.77,-0.34,6.94,4.79,21.51,-10.49,-12.06,22.91,1999.4,3.46,10.11,32.89,42.89,3.08,5.1,-23.87,0.67,-0.15,13.58,-62.67,0.28,-5.74,1.82,-82.58
A,2020-11-23,3577.59,-1.36,3.24,14.17,1818.3,1.85,10.84,12.11,22.66,0.94,-17.75,90.9,1837.8,-2.62,-3.38,26.17,43.06,4.16,8.06,-25.77,0.86,-1.72,2.63,-46.24,0.39,0.52,4.3,-72.62
A,2021-02-16,3932.59,0.43,3.61,16.68,2272.89,-0.74,5.45,35.01,21.46,1.04,-7.7,44.71,1797.2,-1.89,-2.87,12.32,60.05,3.59,12.1,15.37,1.3,12.27,17.13,107.51,0.56,18.35,25.5,59.37
A,2021-05-25,4188.13,1.46,0.01,37.94,2205.75,-0.23,-4.01,53.57,18.84,-11.72,6.8,-31.79,1898.1,1.62,6.68,10.98,66.07,0.89,6.72,101.37,1.56,-7.07,-4.11,169.19,0.77,-10.31,-9.68,190.98
AAL,2016-07-22,2175.03,0.61,4.3,4.59,1212.89,0.63,5.56,-1.07,12.02,-5.13,-43.22,-12.52,1323.1,-0.26,4.35,20.69,44.19,-3.83,-10.05,-7.9,1.57,-1.51,7.53,-27.58,1.12,-2.18,11.89,-24.27
