Ticker,Sector,Industry
A,Healthcare,Diagnostics & Research
AAL,Industrials,Airlines
AAP,Consumer Cyclical,Specialty Retail
AAPL,Technology,Consumer Electronics
ABBV,Healthcare,Drug Manufacturers—General
ABC,Healthcare,Medical Distribution
ABMD,Healthcare,Medical Devices
ABT,Healthcare,Medical Devices
ACN,Technology,Information Technology Services
ADBE,Technology,Software—Infrastructure
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADP,Industrials,Staffing & Employment Services
ADSK,Technology,Software—Application
AEE,Utilities,Utilities—Regulated Electric
AEP,Utilities,Utilities—Regulated Electric
AES,Utilities,Utilities—Diversified
AJG,Financial Services,Insurance Brokers
AKAM,Technology,Software—Infrastructure
ALB,Basic Materials,Specialty Chemicals
ALGN,Healthcare,Medical Devices
ALK,Industrials,Airlines
ALLE,Industrials,Security & Protection Services
AMAT,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers—General
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT—Specialty
AMZN,Consumer Cyclical,Internet Retail
ANET,Technology,Computer Hardware
ANSS,Technology,Software—Application
AON,Financial Services,Insurance Brokers
AOS,Industrials,Specialty Industrial Machinery
APA,Energy,Oil & Gas E&P
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APTV,Consumer Cyclical,Auto Parts
ARE,Real Estate,REIT—Office
ATO,Utilities,Utilities—Regulated Gas
ATVI,Communication Services,Electronic Gaming & Multimedia
AVB,Real Estate,REIT—Residential
AVY,Industrials,Business Equipment & Supplies
AWK,Utilities,Utilities—Regulated Water
AZO,Consumer Cyclical,Specialty Retail
BA,Industrials,Aerospace & Defense
BAX,Healthcare,Medical Instruments & Supplies
BBWI,Consumer Cyclical,Specialty Retail
BBY,Consumer Cyclical,Specialty Retail
BDX,Healthcare,Medical Instruments & Supplies
BEN,Financial Services,Asset Management
BIIB,Healthcare,Drug Manufacturers—General
BIO,Healthcare,Medical Devices
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BLK,Financial Services,Asset Management
BMY,Healthcare,Drug Manufacturers—General
BR,Technology,Information Technology Services
BRO,Financial Services,Insurance Brokers
BSX,Healthcare,Medical Devices
BWA,Consumer Cyclical,Auto Parts
BXP,Real Estate,REIT—Office
CAG,Consumer Defensive,Packaged Foods
CAH,Healthcare,Medical Distribution
CARR,Industrials,Building Products & Equipment
