Ticker,Publish Date,Earning Date,epsestimate,epsactual,epssurprisepct
A,2016-09-07,2016-08-17,0.47,0.49,4.7
A,2016-12-20,2016-11-15,0.52,0.59,13.24
A,2017-03-08,2017-02-14,0.49,0.53,8.16
A,2017-06-06,2017-05-22,0.48,0.58,19.83
A,2017-09-06,2017-08-15,0.52,0.59,13.03
A,2017-12-21,2017-11-20,0.62,0.67,7.37
A,2018-03-06,2018-02-14,0.58,0.66,13.79
A,2018-05-31,2018-05-14,0.64,0.65,1.25
A,2018-08-30,2018-08-14,0.63,0.67,6.86
A,2018-12-20,2018-11-19,0.74,0.81,10.05
A,2019-03-05,2019-02-20,0.73,0.76,3.97
A,2019-05-30,2019-05-14,0.72,0.71,-0.7
A,2019-08-30,2019-08-14,0.72,0.76,5.12
A,2019-12-19,2019-11-25,0.86,0.89,4.09
A,2020-03-03,2020-02-18,0.81,0.81,0.12
A,2020-06-01,2020-05-21,0.61,0.71,17.16
A,2020-09-01,2020-08-18,0.66,0.78,17.65
A,2020-12-18,2020-11-23,0.93,0.98,5.49
A,2021-03-02,2021-02-16,0.89,1.06,18.57
A,2021-06-01,2021-05-25,0.83,0.97,17.29
AAL,2016-07-25,2016-07-22,1.68,1.77,5.48
AAL,2016-10-20,2016-10-20,1.69,1.76,4.45
AAL,2017-02-22,2017-01-27,0.92,0.92,0.11
AAL,2017-04-27,2017-04-27,0.57,0.61,7.21
AAL,2017-07-28,2017-07-28,1.87,1.92,2.56
AAL,2017-10-26,2017-10-26,1.4,1.42,1.28
AAL,2018-02-21,2018-01-25,0.92,0.95,3.37
AAL,2018-04-26,2018-04-26,0.72,0.75,4.31
AAL,2018-07-26,2018-07-26,1.59,1.63,2.52
AAL,2018-10-25,2018-10-25,1.13,1.13,0.44
AAL,2019-02-25,2019-01-24,1.01,1.04,3.17
AAL,2019-04-26,2019-04-26,0.51,0.52,2.77
AAL,2019-07-25,2019-07-25,1.8,1.82,1.39
AAL,2019-10-24,2019-10-24,1.4,1.42,1.79
AAL,2020-02-19,2020-01-23,1.14,1.15,0.7
AAL,2020-04-30,2020-04-30,-2.33,-2.65,-13.83
AAL,2020-07-23,2020-07-23,-7.7,-7.82,-1.51
AAL,2020-10-22,2020-10-18,-5.88,-5.54,5.73
AAL,2021-02-17,2021-01-28,-4.11,-3.86,6.17
AAL,2021-04-22,2021-04-22,-4.3,-4.32,-0.35
AAP,2016-08-25,2016-08-16,2.12,1.9,-10.29
AAP,2016-11-15,2016-11-14,1.71,1.73,1.47
AAP,2017-02-28,2017-02-21,1.09,1.0,-7.92
