release_date,ticker,compound_sentiment
2016-01-01,AA,0.5267
2016-01-01,AAPL,0.09825
2016-01-01,BAC,0.0
2016-01-01,GILD,0.2023
2016-01-01,GS,-0.6249
2016-01-01,NFLX,0.3818
2016-01-01,XOM,0.0
2016-01-02,XOM,-0.4939
2016-01-03,AAPL,0.4939
2016-01-03,BLK,0.0
2016-01-03,COP,-0.2732
2016-01-03,DIS,0.5994
2016-01-03,DNKN,0.2023
2016-01-03,EMR,0.0
2016-01-03,GS,0.0
2016-01-03,INTC,0.0
2016-01-03,IP,0.0
2016-01-04,AAPL,-0.555
2016-01-04,ABT,0.2023
2016-01-04,AIG,0.2263
2016-01-04,BA,0.7506
2016-01-04,BFb,0.4404
2016-01-04,BIDU,0.0
2016-01-04,BRKb,0.0
2016-01-04,CMG,-0.43895
2016-01-04,DIS,-0.4019
2016-01-04,GE,0.0
2016-01-04,GM,0.0
2016-01-04,GOOG,0.0
2016-01-04,GS,-0.09979999999999999
2016-01-04,IP,0.0
2016-01-04,MCD,0.5106
2016-01-04,MSFT,0.04626000000000001
2016-01-04,NEM,-0.1027
2016-01-04,NFLX,0.10115
2016-01-04,TM,0.0
2016-01-04,VALE,-0.3412
2016-01-04,VZ,-0.296
2016-01-04,XOM,-0.3818
2016-01-05,AAPL,-0.004366666666666673
2016-01-05,ACHC,0.3818
2016-01-05,ANF,0.0
2016-01-05,APLO,0.0
2016-01-05,BA,0.5719
2016-01-05,BAC,0.1909
2016-01-05,BDX,0.743
2016-01-05,BHC,0.0
2016-01-05,CME,0.0
2016-01-05,DAL,0.2202
2016-01-05,DIS,0.1525
2016-01-05,GOOG,0.011099999999999999
2016-01-05,GS,-0.5994
2016-01-05,JPM,-0.4588
2016-01-05,KSS,0.0
2016-01-05,MSFT,0.4965
2016-01-05,NEM,0.0
2016-01-05,NFLX,-0.4939
2016-01-05,NS,0.0
2016-01-05,PBR,0.0
2016-01-05,TM,0.2553
2016-01-05,TSLA,0.0
2016-01-05,VIAC,-0.5859
2016-01-05,VZ,0.0772
2016-01-05,YUM,0.0
2016-01-06,AAPL,0.010290909090909094
2016-01-06,AMZN,0.1779
2016-01-06,AN,0.2263
2016-01-06,BHC,0.0
2016-01-06,BKR,0.0
2016-01-06,C,-0.34
2016-01-06,CMG,0.0
2016-01-06,CTL,0.128
2016-01-06,DD,-0.296
2016-01-06,DIS,-0.5574
2016-01-06,GM,0.0
2016-01-06,GOOG,-0.20095
2016-01-06,JPM,-0.10115
2016-01-06,LLY,-0.5719
2016-01-06,MIDD,0.0
2016-01-06,MS,0.0
